Mã ytcp,Sản phẩm,Tên sản phẩm,Hệ số,
622TD,KGW44010200,Tủ đông mềm 2 ngăn 2 cánh có kính KG388DM2,5,
622TD,KGW44010300,"Tủ đông mềm kháng khuẩn 1 ngăn, 1 cánh không kính KG399DM1",5,
622TD,KGW44010400,"Tủ đông mềm kháng khuẩn 2 ngăn, 2 cánh có kính KG400DM2",5,
622TD,KGW44010500,"Tủ đông mềm kháng khuẩn 2 ngăn, 2 cánh có kính KG408S2",5,
622TD,KGW44010600,"Tủ đông mềm kháng khuẩn 1 ngăn, 1 cánh không kính KG268DM1",5,
622TD,KGW44010700,"Tủ đông mềm kháng khuẩn 2 ngăn, 2 cánh có kính KG268DM2",5,
622TD,KGW44010800,"Tủ đông mềm kháng khuẩn 2 ngăn, 2 cánh có kính KG328DM2",5,
622TD,KGW44011200,"Tủ đông mềm kháng khuẩn 2 ngăn, 2 cánh không kính KG398DM2",6.5,
622TD,KGW44011300,Tủ đông kháng khuẩn 1 ngăn 1 cánh không kính KG168NC1,2.5,
622TD,KGW44011400,Tủ đông kháng khuẩn 1 ngăn 1 cánh KG265XKC1,4.44,
622TD,KGW44011600,"Tủ đông mềm kháng khuẩn 2 ngăn, 2 cánh có kính KG400XKM2",5,
622TD,KGW44011800,"Tủ đông kháng khuẩn 2 ngăn, 2 cánh, không kính KG498C2",4.4,
622TD,KGW44011900,"Tủ đông kháng khuẩn 2 ngăn 2 cánh, không kính KG398C2",4.4,
622TD,KGW44012700,"Tủ đông kháng khuẩn 2 ngăn, 2 cánh màu inox, không kính KG498KX2",4.4,
622INOX,KPG22008300,Kệ trưng bày siêu thị 3 tầng 2280x800 (nhà máy SX),1.67,
622INOX,KPG22008600,Kệ trưng bày chậu rửa (SX tại nhà máy),1.67,
622INOX,KPG22010100,"Kệ trưng bày máy bơm 4 tầng 1,2 x 2m (Nhà máy SX)",1.67,
622INOX,KPG22021000,Kệ trưng bày TBVS 1560*720*1200 mm (Nhà máy SX),1.67,
622BNN,SPE0514000100,Bộ thân bình nước nóng (18L) KG65,0.6,
622BNN,SPE0516000100,Bộ thân bình nước nóng (32L_SX) KG60,0.78,
622BNN,SPE0517000100,Bộ thân bình nước nóng (22L_SX) KG64,0.78,
622BNN,SPE0529000100,Bộ thân bình nước nóng (32L_SX) KG660Y,0.78,
622BNN,SPE0530000100,Bộ thân bình nước nóng (22L_SX) KG664Y,0.78,
622BNN,SPE0532000100,Bộ thân bình nước nóng (18L_SX) KG665Y,0.6,
622BNN,SPE0552000400,Bộ thân bình nước nóng (22L_SX) KG69A2,0.78,
622BNN,SPE0554000100,Bộ thân bình nước nóng (30L_SX) KG69A3,0.78,
622BNN,SPE0556000700,Bộ thân bình nước nóng (22L-SX) KG68A2,0.6,
622BNN,SPE0558001200,Bộ thân bình nước nóng (30L_SX) KG518,0.6,
622BNN,SPE0559000400,Bộ thân bình nước nóng (30L_SX) KG518N,0.6,
622BNN,SPE0560000600,Bộ thân bình nước nóng (15L_SX) KG516,0.7,
622BNN,SPE0563000700,Bộ thân bình nước nóng (30L_SX) KG68A3,0.6,
622NLMT,SPE1800007300,Bộ chân giá NNNL loại 14 ống,1.67,
622NLMT,SPE1800007400,Bộ chân giá NNNL loại 16 ống,1.67,
622NLMT,SPE1800007500,Bộ chân giá NNNL loại 18 ống,1.67,
622NLMT,SPE1800007600,Bộ chân giá NNNL loại 20 ống,1.67,
622NLMT,SPE1800007700,Bộ chân giá NNNL loại 24 ống,1.67,
622NLMT,SPE1800007800,Bộ chân giá NNNL loại 28 ống,1.67,
622NLMT,SPE1800008000,Bộ chân giá NNNL loại 14 ống mái nghiêng,1.67,
622NLMT,SPE1800008100,Bộ chân giá NNNL loại 16 ống mái nghiêng,1.67,
622NLMT,SPE1800008200,Bộ chân giá NNNL loại 18 ống mái nghiêng,1.67,
622NLMT,SPE1800008300,Bộ chân giá NNNL loại 20 ống mái nghiêng,1.67,
622NLMT,SPE1800008400,Bộ chân giá NNNL loại 24 ống mái nghiêng,1.67,
622INOX,SPE1800009200,Thanh giằng tăng cứng (inox SUS 201),0.19,
622INOX,SPE1805000900,Thanh giằng sau 14 ống ( Inox SUS 201),0.19,
622NLMT,SPE1805001200,Bình bảo ôn PT1416,2.71,
622INOX,SPE1806000400,Thanh giằng sau 16 ống ( Inox SUS 201),0.19,
622NLMT,SPE1806000600,Bình bảo ôn PT1618,2.71,
622NLMT,SPE1806001300,Thân bình PT1618,2.7,
622INOX,SPE1807000400,Thanh giằng sau 18 ống ( Inox SUS 201),0.19,
622NLMT,SPE1807000600,Bình bảo ôn PT1820,2.71,
622NLMT,SPE1807001300,Thân bình PT1820,2.9,
622INOX,SPE1808000400,Thanh giằng sau 20 ống ( Inox SUS 201),0.19,
622NLMT,SPE1808000600,Bình bảo ôn PT2022,2.71,
622NLMT,SPE1808001300,Thân bình PT2022,3.1,
622INOX,SPE1809000400,Thanh giằng sau 24 ống ( Inox SUS 201),0.19,
622NLMT,SPE1809000700,Bình bảo ôn PT2426,2.71,
622INOX,SPE1810000400,Thanh giằng sau 28 ống ( Inox SUS 201),0.19,
622NLMT,SPE1810000600,Bình bảo ôn PT2832,2.71,
622NLMT,SPE1811001000,Bình bảo ôn DI1414,2.71,
622NLMT,SPE1812000500,Bình bảo ôn DI1616,2.71,
622NLMT,SPE1813000500,Bình bảo ôn DI1818,2.71,
622NLMT,SPE1814000500,Bình bảo ôn DI2020,2.71,
622INOX,SPE1816001600,Thanh đứng ( Inox SUS 201),0.19,
622INOX,SPE1816001700,Thanh chéo bên ( Inox SUS 201),0.19,
622INOX,SPE1816001800,Thanh ngang bên ( Inox SUS 201),0.19,
622INOX,SPE1816001900,Thanh chéo ( Inox SUS 201),0.19,
622NLMT,SPE1816005200,Bình bảo ôn DI2830,2.71,
622INOX,SPE1816005400,Thanh đứng ( Inox SUS 201 )-MN,0.19,
622INOX,SPE1816005500,Thanh ngang bên ( Inox SUS 201 )-MN,0.19,
622INOX,SPE1816005600,Thanh chéo ( Inox SUS 201 )-MN,0.19,
622NLMT,SPE1857000100,Bình bảo ôn GD1414,2.71,
622NLMT,SPE1857000200,Thân bình GD1414,2.2,
622NLMT,SPE1858000100,Bình bảo ôn GD1616,2.71,
622NLMT,SPE1858000200,Thân bình GD1616,2.5,
622NLMT,SPE1859000100,Bình bảo ôn GD1818,2.71,
622NLMT,SPE1859000200,Thân bình GD1818,2.5,
622NLMT,SPE1860000100,Bình bảo ôn GD2020,2.71,
622NLMT,SPE1860000200,Thân bình GD2020,2.7,
622NLMT,SPE1861000100,Bình bảo ôn GD2424,2.71,
622NLMT,SPE1861000200,Thân bình GD2424,3.3,
622NLMT,SPE1862000100,Bình bảo ôn GD2830,2.71,
622INOX,SPH0300004600,Thân tủ chưa sơn 1 lỗ lưng tủ,0.39,
622INOX,SPH0300004800,Thân tủ chưa sơn 3 lỗ lưng tủ,0.39,
622RO,SPH0300005000,"Lõi T33 to PP 5M trắng sứ (SX) ( Lõi 1 ) ( KG100HK, KG10A4, KG100ES, KG100EO)",0.04,
622RO,SPH0300007500,"Lõi T33 to MAIFAN trắng sứ nối nhanh (SX), Tem cờ đỏ sao vàng)",0.06,
622RO,SPH0300007600,"Lõi T33 to NANO CARBON trắng sứ nối nhanh (SX), Tem cờ đỏ sao vàng",0.06,
622RO,SPH0300008000,Lõi số 2-G.A.C các bon (SX) OEM tem Kangaroo,0.03,
622RO,SPH0300010400,Lõi lọc Alkaline ( Korea design - tem cờ đỏ sao vàng ),0.035,
622RO,SPH0300013900,"Lõi Lọc CERAMIC (Bóng Gốm) - DEMO, 2 đầu, thân mầu nâu đỏ, nắp mầu nâu đỏ nối nhanh(SX)",0.035,
622RO,SPH0300014000,"Lõi lọc ALKALINE- DEMO, 2 đầu, thân mầu xanh cốm, nắp mầu xanh cốm nối nhanh (SX)",0.035,
622RO,SPH0300014100,"Lõi lọc MINERAL-DEMO, 2 đầu, thân xanh lá cây, nắp xanh lá cây nối nhanh(xuất cho SX)",0.035,
622RO,SPH0300014200,"Lõi lọc ORP-DEMO, 2 đầu, thân trắng, nắp trắng nối nhanh (SX)",0.035,
622RO,SPH0300014300,"Lõi lọc (5 IN 1)-DEMO, 2 đầu, thân xanh lá cây, nắp xanh lá cây nối nhanh(xuất cho SX)",0.035,
622RO,SPH0300014400,"Lõi lọc NANO SILVER-DEMO, thân xanh da trời, nắp xanh da trời nối nhanh(SX)",0.035,
622RO,SPH0300014800,"Lõi lọc NANO SILVER DEMO, 2 đầu, thân xanh da trời, nắp xanh da trời nối nhanh (SX)",0.035,
622RO,SPH0301000902,Lõi lọc số 7-Alkaline ( Tem mới ),0.04,
622RO,SPH0301005200,"Lõi số 8 -đá Maifan (màu xanh lá cây) ( KTA10-14 ) (dùng chung KG09A3, KG10A3)",0.04,
622RO,SPH0301010400,Lõi số 2-G.A.C carbon K29(SX) không tem,0.03,
622RO,SPH0301010600,Lõi số 2-G.A.C carbon K29(XB),0.03,
622RO,SPH0302003900,"Lõi lọc số 7-Alkaline (SX) (dùng chung KG09A3, KG10A3)",0.04,
622RO,SPH0302004000,Lõi lọc số 9 ORP ( Made in Việt Nam),0.04,
622RO,SPH0304008200,"Lõi lọc số 5- NANO SILVER (KTA 10-1)(SX) (dùng chung KG09A3, KG10A3)",0.04,
622RO,SPH0304009000,Lõi số 2-G.A.C carbon K29(SX),0.04,
622RO,SPH0304010100,Lõi lọc số 6-bóng gốm (SX)(màu nâu đỏ),0.04,
622RO,SPH0304010600,Lõi số 8 -đá Maifan (SX) xanh lá cây) ( KTA10-14 ),0.04,
622RO,SPH0304013500,Lõi lọc số 6 (5 in 1 Omega-SX) KTA10-150,0.04,
622RO,SPH0304013700,Lõi lọc số 8 Maifan rock (Omega-SX) KTA10-140,0.04,
622RO,SPH0304013900,Lõi lọc số 9 ORP (Omega-SX) KTA10-90,0.04,
622RO,SPH0304014100,Lõi số 7 Alkaline (Omega-SX) KTA10-120,0.04,
622RO,SPH0304014400,Lõi lọc số 5 Nano silver (Omega-SX) KTA10-150,0.04,
622RO,SPH0310400300,Lõi số 5 FIR Hydrogen (KG100HM),0.04,
622RO,SPH0310400400,Lõi lọc số 6 OrpH Hydrogen (KG100HM),0.04,
622RO,SPH0310400500,Lõi lọc số 7 HypH Hydrogen (KG100HM),0.04,
622RO,SPH0310400600,Lõi số 8 Mineral Hydrogen (KG100HM),0.04,
622RO,SPH0310400700,Lõi lọc số 9 (5 in 1 Omega-SX) (KG100HM),0.04,
622RO,SPH0310400800,Lõi lọc số 10 Nano Carbon Hydrogen (KG100HM),0.04,
622RO,SPH0310402400,"Lõi Lọc CERAMIC (Bóng Gốm), thân xanh da trời, nắp xanh da trời nối nhanh (SX)",0.04,
622RO,SPH0310402500,"Lõi lọc NANO SILVER, thân xanh da trời, nắp xanh da trời nối nhanh(SX)",0.04,
622RO,SPH0310403100,"Lõi lọc NANO SILVER, 2 đầu, thân xanh lá cây, nắp xanh lá cây nối nhanh(SX)",0.04,
622RO,SPH0310403200,"Lõi Lọc CERAMIC (Bóng Gốm), 2 đầu, thân mầu nâu đỏ, nắp mầu nâu đỏ nối nhanh(SX)",0.04,
622RO,SPH0310403300,"Lõi lọc NANO SILVER, 2 đầu, thân mầu nâu đỏ, nắp mầu nâu đỏ nối nhanh (SX)",0.04,
622RO,SPH0310403400,Cánh tủ trắng VTU KG100HM,0.12,
622RO,SPH0310403600,Đỉnh tủ trắng VTU KG100HM,0.04,
622RO,SPH0310403700,Lõi lọc FIR Hydrogen KG100HM nối nhanh (SX),0.06,
622RO,SPH0310403800,Lõi lọc OrpH Hydrogen KG100HM nối nhanh (SX),0.06,
622RO,SPH0310403900,Lõi lọc HypH Hydrogen KG100HM nối nhanh (SX),0.06,
622RO,SPH0310404000,Lõi lọc Mineral Hydrogen KG100HM nối nhanh (SX),0.06,
622RO,SPH0310404100,Lõi lọc 5 in 1 Omega KG100HM nối nhanh (SX),0.06,
622RO,SPH0310404200,Lõi lọc Nano Carbon Hydrogen KG100HM nối nhanh (SX),0.06,
622RO,SPH0310700400,Lõi số 5 FIR Hydrogen KG100HG,0.04,
622RO,SPH0310700500,Lõi lọc số 6 OrpH Hydrogen KG100HG,0.04,
622RO,SPH0310700600,Lõi lọc số 7 HypH Hydrogen KG100HG,0.04,
622RO,SPH0310700700,Lõi số 8 Mineral Hydrogen KG100HG,0.04,
622RO,SPH0310700800,Lõi lọc số 9 Nano Carbon Hydrogen KG100HG,0.04,
622RO,SPH0310701900,Lõi lọc (5 in 1) Hydrogen KG100HG,0.04,
622RO,SPH0310702500,Cánh tủ đen VTU KG100HG,0.12,
622RO,SPH0310702600,Đỉnh tủ đen VTU KG100HG,0.04,
622RO,SPH0310800100,Lõi Lọc FIR (Omega-SX) KG10G4,0.04,
622RO,SPH0311300900,Lõi lọc Ceramic KG99A,0.04,
622RO,SPH0311301000,Lỗi lọc Orp KG99A,0.04,
622RO,SPH0311301100,Lõi lọc Alkaline KG99A,0.04,
622RO,SPH0311301200,Lõi lọc Maifan KG99A,0.04,
622RO,SPH0311301400,Lõi lọc Nano Silver KG99A,0.04,
622RO,SPH0311302300,Cánh tủ trắng VTU KG99A,0.12,
622RO,SPH0311302400,Đỉnh tủ trắng VTU KG99A,0.04,
622RO,SPH0311500200,Lõi lọc FIR Hydrogen HA nối nhanh mầu trắng (SX),0.04,
622RO,SPH0311500300,Lõi lọc OrpH Hydrogen HA nối nhanh mầu trắng (SX),0.04,
622RO,SPH0311500400,Lõi lọc HypH Hydrogen HA nối nhanh mầu trắng (SX),0.04,
622RO,SPH0311500500,Lõi lọc Mineral Hydrogen HA nối nhanh mầu trắng (SX),0.04,
622RO,SPH0311500600,Lõi lọc (5 IN 1) Hydrogen HA nối nhanh mầu trắng (XB),0.04,
622RO,SPH0311500700,Lõi lọc Nano Carbon Hydrogen HA nối nhanh mầu trắng (SX),0.04,
622RO,SPH0311500900,Cánh tủ trắng VTU KG100HB,0.12,
622RO,SPH0311501000,Đỉnh tủ trắng VTU KG100HB,0.04,
622RO,SPH0311501200,Lõi lọc FIR Hydrogen HA nối nhanh mầu trắng (XB),0.06,
622RO,SPH0311501300,Lõi lọc OrpH Hydrogen HA nối nhanh mầu trắng (XB),0.06,
622RO,SPH0311501400,Lõi lọc HypH Hydrogen HA nối nhanh mầu trắng (XB),0.06,
622RO,SPH0311501500,Lõi lọc Mineral Hydrogen HA nối nhanh mầu trắng (XB),0.06,
622RO,SPH0311501600,Lõi lọc (5 IN 1) Hydrogen HA nối nhanh mầu trắng (SX),0.06,
622RO,SPH0311501700,Lõi lọc Nano Carbon Hydrogen HA nối nhanh mầu trắng (XB),0.06,
622RO,SPH0311600300,Lõi lọc ORP (Omega-SX) nối nhanh xanh lá cây,0.04,
622RO,SPH0311600400,Lõi lọc Alkaline (Omega-SX) nối nhanh xanh lá cây,0.04,
622RO,SPH0311600500,Lõi lọc Maifan rock (Omega-SX) nối nhanh xanh lá cây,0.04,
622RO,SPH0311600600,Lõi lọc (5 in 1 Omega-SX) nối nhanh xanh lá cây,0.04,
622RO,SPH0311600800,Lõi lọc Nano silver (Omega-SX) nối nhanh xanh lá cây,0.04,
622RO,SPH0311600900,Cánh tủ trắng VTU KG09G4,0.12,
622RO,SPH0311601000,Đỉnh tủ trắng VTU KG09G4,0.04,
622RO,SPH0311800500,Lõi lọc Mineral nối nhanh xanh da trời,0.04,
622RO,SPH0311800600,Lõi lọc (5 in 1) nối nhanh xanh da trời,0.6,
622RO,SPH0311800700,Lõi lọc Nano silver nối nhanh xanh da trời,0.04,
622RO,SPH0311800800,Cánh tủ trắng VTU KG08G4,0.12,
622RO,SPH0311800900,Đỉnh tủ trắng VTU KG08G4,0.04,
622RO,SPH0312000200,Lõi lọc Bóng Gốm nối nhanh xanh cốm,0.04,
622RO,SPH0312000300,Lõi lọc ORP nối nhanh xanh cốm,0.04,
622RO,SPH0312000400,Lõi lọc Alkaline nối nhanh xanh cốm,0.04,
622RO,SPH0312000500,Lõi lọc Mineral nối nhanh xanh cốm,0.04,
622RO,SPH0312000700,Lõi lọc Nano silver nối nhanh xanh cốm,0.04,
622RO,SPH0312100200,Cánh tủ trắng VTU KG177A,0.12,
622RO,SPH0312100300,Đỉnh tủ trắng VTU KG177A,0.04,
622RO,SPH0312200200,Cánh tủ trắng VTU KG188A,0.12,
622RO,SPH0312200300,Đỉnh tủ trắng VTU KG188A,0.04,
622RO,SPH0312300200,Cánh tủ đen VTU KG199HQ,0.15,
622RO,SPH0312300300,Đỉnh tủ đen VTU KG199HQ,0.02,
622RO,SPH0312800400,Cánh tủ đen Hydrogen KG100HK,0.13,
622RO,SPH0312800500,Đỉnh tủ đen 5 lỗ Hydrogen KG100HK,0.04,
622INOX,SPH0312800700,Thân tủ chưa sơn KG100HK,0.42,
622RO,SPH0313400400,"Lõi T33 to PP 5M trắng sứ (XB) (Lõi 1) ( KG100HK, KG10A4, KG100ES, KG100EO)",0.04,
622RO,SPH0313402500,Bộ lọc thô 1 cấp PP Devolker IN and OUT 1/4,0.05,
622RO,SPH0313402600,Bộ lọc thô 2 cấp PP & GAC Devolker IN and OUT 1/4,0.08,
622RO,SPH0313402800,"Vỏ tủ VTU màu xanh (có xốp, vỏ thùng carton, carton lót đế)",0.35,
622RO,SPH0313606700,"Lõi T33 to (5 IN 1) trắng sứ (XB) (KG100HU, KG100HU+ KG100MED)",0.06,
622RO,SPH0313606800,"Lõi T33 to (5 IN 1) trắng sứ (SX) (KG100HU, KG100HU+ KG100MED)",0.04,
622RO,SPH0313607800,Mặt trước Destop KG100HU,0.02,
622RO,SPH0314200600,Mặt trước Destop KG100HU+,0.02,
622RO,SPH0314800400,Đỉnh tủ kính xanh (hiển thị mạch) VTU KG08G5,0.034,
622RO,SPH0315700200,"Lõi lọc Alkaline, cho máy nước lợ (SX)",0.06,
622RO,SPH0315700300,"Lõi lọc MINERAL, cho máy nước lợ (SX)",0.06,
622RO,SPH0315700400,"Lõi lọc FIR ceramic, cho máy nước lợ (SX)",0.06,
622RO,SPH0315700500,"Lõi lọc ORP, cho máy nước lợ (SX)",0.06,
622RO,SPH0315700600,"Lõi lọc NANO SILVER, cho máy nước lợ (SX)",0.06,
622RO,SPH0316900600,Đỉnh tủ xanh VTU KG-08G4 (Hiển thị đèn LED),0.04,
622RO,SPH0317101000,"Lõi T33 to CATRION trắng sứ (SX) (KG100ES, KG100EO)",0.06,
622INOX,SPH0317101800,Vỏ tủ thép SLIM KG100ES kt 910x900 chưa gia công,0.42,
622INOX,SPH0317202000,"Vỏ tủ thép Oval 701x889,91 chưa sơn",0.42,
622RO,SPH0317800100,Đỉnh tủ xanh 5 lỗ KG19A3-UV (Tiếng Anh),0.04,
622RO,SPH0317900100,Đỉnh tủ đen 5 lỗ Hydrogen KG100HK-UV (Tiếng Anh),0.04,
622INOX,SPH0319900800,Thân tủ chưa sơn KG10A5,0.45,
622RO,SPH0349000200,Cánh tủ xanh VTU KG109A,0.12,
622RO,SPH0349000300,Đỉnh tủ xanh VTU KG109A,0.04,
622RO,SPH0355000100,Lõi số 5 - FIR Hydrogen (HA),0.04,
622RO,SPH0355000300,Lõi lọc số 6 OrpH Hydrogen (HA),0.04,
622RO,SPH0355000500,Lõi lọc số 7 - HypH Hydrogen (HA),0.04,
622RO,SPH0355000700,Lõi số 8 Mineral Hydrogen (HA),0.04,
622RO,SPH0355000900,Lõi lọc số 9 Nano Carbon Hydrogen (HA),0.04,
622RO,SPH0355002000,Cánh tủ đen VTU KG100HA,0.12,
622RO,SPH0355002100,Đỉnh tủ đen VTU KG100HA,0.04,
622RO,SPH0364001200,"Lõi lọc FAR (Omega-SX) nối nhanh, nắp và thân xanh lá cây KG110A",0.06,
622RO,SPH0364001300,"Lõi lọc ORP (Omega-SX) nối nhanh, nắp và thân xanh lá cây KG110A",0.04,
622RO,SPH0364001400,"Lõi lọc Alkaline (Omega-SX) nối nhanh, nắp và thân xanh lá cây KG110A",0.04,
622RO,SPH0364001500,"Lõi lọc Maifan rock (Omega-SX) nối nhanh, nắp và thân xanh lá cây KG110A",0.04,
622RO,SPH0364001600,"Lõi lọc (5 in 1 Omega-SX) nối nhanh, nắp và thân xanh lá cây KG110A",0.04,
622RO,SPH0364001700,"Lõi lọc Nano silver (Omega-SX) nối nhanh, nắp và thân xanh lá cây KG110A",0.04,
622RO,SPH0364001800,Cánh tủ đen vàng VTU KG110A,0.12,
622RO,SPH0364001900,Đỉnh tủ đen vàng VTU KG110A,0.04,
622RO,SPH0364002100,"Lõi lọc ORP (Omega-XB) nối nhanh, nắp và thân xanh lá cây KG110A",0.06,
622RO,SPH0364002200,"Lõi lọc Alkaline (Omega-XB) nối nhanh, nắp và thân xanh lá cây KG110A",0.06,
622RO,SPH0364002300,"Lõi lọc Maifan rock (Omega-XB) nối nhanh, nắp và thân xanh lá cây KG110A",0.06,
622RO,SPH0364002400,"Lõi lọc (5 in 1 Omega-XB) nối nhanh, nắp và thân xanh lá cây KG110A",0.06,
622RO,SPH0364002500,"Lõi lọc Nano silver (Omega-XB) nối nhanh, nắp và thân xanh lá cây KG110A",0.06,
622RO,SPH0366000400,Lõi lọc số 6 Macca BIO-ORPH,0.04,
622RO,SPH0366000500,Lõi lọc số 7 Macca BIO-GAC,0.04,
622RO,SPH0366000600,Lõi lọc số 8 Macca BIO-MINERAL,0.04,
622RO,SPH0366000700,Lõi lọc số 9 Macca BIO-NANO CARBON,0.04,
622RO,SPH0366000800,Lõi lọc số 5 Macca BIO-FAR,0.04,
622RO,SPH0366001600,Vỏ tủ VTU màu xanh-Macca,0.52,
622RO,SPH0366005000,"Lõi Lọc BIO-FAR, 2 đầu, thân và nắp màu xanh MACCA- KGMC09 nối nhanh (XB)",0.06,
622RO,SPH0366005100,"Lõi lọc BIO-ORP, 2 đầu, thân và nắp màu xanh MACCA- KGMC09 nối nhanh (XB)",0.06,
622RO,SPH0366005200,"Lõi lọc BIO-GAC-Alkaline, 2 đầu, thân và nắp màu xanh MACCA- KGMC09 nối nhanh (XB)",0.06,
622RO,SPH0366005300,"Lõi lọc BIO-MINERAL, 2 đầu, thân và nắp màu xanh MACCA- KGMC09 nối nhanh (XB)",0.06,
622RO,SPH0366005500,"Lõi lọc BIO-NANO CARBON, 2 đầu, thân và nắp màu xanh MACCA- KGMC09 nối nhanh (XB)",0.06,
622RO,SPH0366005600,"Lõi Lọc BIO-FAR, 2 đầu, thân và nắp màu xanh MACCA- KGMC09 nối nhanh (SX)",0.06,
622RO,SPH0366005700,"Lõi lọc BIO-ORP, 2 đầu, thân và nắp màu xanh MACCA- KGMC09 nối nhanh (SX)",0.06,
622RO,SPH0366005800,"Lõi lọc BIO-GAC-Alkaline, 2 đầu, thân và nắp màu xanh MACCA- KGMC09 nối nhanh (SX)",0.06,
622RO,SPH0366006000,"Lõi lọc BIO-NANO CARBON, 2 đầu, thân và nắp màu xanh MACCA- KGMC09 nối nhanh (SX)",0.06,
622RO,SPH0366006100,Cánh tủ trắng VTU KGMC09,0.12,
622RO,SPH0366006200,Đỉnh tủ trắng VTU KGMC09,0.04,
622RO,SPH0366006300,"Lõi lọc BIO-MINERAL, 2 đầu, thân và nắp màu xanh MACCA nối nhanh (SX)",0.06,
622RO,SPH0368000100,Cánh tủ trắng VTU KG01G4,0.12,
622RO,SPH0368000200,Đỉnh tủ trắng VTU KG01G4,0.04,
622RO,SPH0369000300,Lõi lọc ion (SX),0.04,
622RO,SPH0369000400,Lõi lọc số 6-bóng gốm (SX) màu xanh da trời,0.04,
622RO,SPH0369000600,Lõi số 8 -đá Maifan (SX) màu xanh da trời,0.04,
622RO,SPH0369000700,Lõi lọc ORP ( Made in Việt Nam ) màu xanh da trời,0.04,
622INOX,SPH0371000200,Giá đỡ bầu nóng,0.13,
622RO,SPH0372000600,Lõi số 5 FIR Hydrogen (HP),0.04,
622RO,SPH0372000700,Lõi lọc số 6 OrpH Hydrogen (HP),0.04,
622RO,SPH0372000800,Lõi lọc số 7 HypH Hydrogen (HP),0.04,
622RO,SPH0372000900,Lõi số 8 Mineral Hydrogen (HP),0.04,
622RO,SPH0372001000,Lõi lọc số 9 Nano Carbon Hydrogen (HP),0.04,
622RO,SPH0372001100,Lõi lọc số 10 (5 in 1 Omega-SX) KTA10-150,0.04,
622RO,SPH0372002500,Lõi lọc FIR Hydrogen KG100HP nối nhanh trắng (XB),0.04,
622RO,SPH0372002600,Lõi lọc OrpH Hydrogen KG100HP nối nhanh mầu trắng (XB),0.04,
622RO,SPH0372002700,Lõi lọc HypH Hydrogen KG100HP nối nhanh mầu trắng (XB),0.04,
622RO,SPH0372002800,Lõi lọc Mineral Hydrogen KG100HP nối nhanh mầu trắng (XB),0.04,
622RO,SPH0372002900,Lõi lọc (5 IN 1) Hydrogen KG100HP nối nhanh mầu trắng (XB),0.04,
622RO,SPH0372003000,Lõi lọc Nano Carbon Hydrogen KG100HP nối nhanh mầu trắng (XB),0.04,
622RO,SPH0372003100,Lõi lọc FIR Hydrogen KG100HP nối nhanh trắng (SX),0.06,
622RO,SPH0372003200,Lõi lọc OrpH Hydrogen KG100HP nối nhanh trắng (SX),0.06,
622RO,SPH0372003300,Lõi lọc HypH Hydrogen KG100HP nối nhanh trắng (SX),0.06,
622RO,SPH0372003400,Lõi lọc Mineral Hydrogen KG100HP nối nhanh trắng (SX),0.06,
622RO,SPH0372003500,Lõi lọc (5 IN 1) Hydrogen KG100HP nối nhanh trắng (SX),0.06,
622RO,SPH0372003600,Lõi lọc Nano Carbon Hydrogen KG100HP nối nhanh trắng (SX),0.06,
622RO,SPH0373000200,Đỉnh tủ kim cương VTU KG100HP,0.04,
622RO,SPH0373000300,Cánh tủ kim cương VTU KG100HP,0.12,
622RO,SPH0378000700,Lõi số 2-G.A.C các bon Myanmar,0.04,
622RO,SPH0378000800,Lõi số 3 cation,0.04,
622INOX,SPH0385000300,Thân tủ chưa sơn KG09A3,0.39,
622RO,SPH0385000500,Đỉnh tủ xanh 4 lỗ KG09A3,0.04,
622INOX,SPH0386009400,Thân tủ chưa sơn KG10A3,0.42,
622RO,SPH0386009600,Đỉnh tủ xanh 5 lỗ KG10A3,0.04,
622RO,SPH0386009700,Cánh tủ xanh VTU KG10A3,0.13,
622RO,SPH0386009800,Bình điện phân không màng ngăn BD01,0.278,
622INOX,SPH0386011900,"Thân tủ chưa sơn KG2209P3, KG10A3 (V3)",0.42,
622INOX,SPH0386012000,"Giá đỡ bầu nóng/lạnh KG2209P3, KG10A3 (V3)",0.13,
622RO,SPH0397001100,Lõi số 5 FIR Hydrogen (HC),0.04,
622RO,SPH0397001200,Lõi lọc số 7 HypH Hydrogen (HC),0.04,
622RO,SPH0397001300,Lõi số 8 Mineral Hydrogen (HC),0.04,
622RO,SPH0397001400,Lõi lọc số 10 Nano Carbon Hydrogen (HC),0.04,
622RO,SPH0397001500,Lõi lọc số 6 OrpH Hydrogen (HC),0.04,
622RO,SPH0397001600,Lõi lọc số 9 (5 in 1 Omega-SX) (HC),0.04,
622RO,SPH0397011700,"Lõi T33 to than GAC trắng sứ (XB) ( KG100HK, KG10A4, KG100ES, KG100EO)",0.04,
622RO,SPH0397012200,"Lõi T33 to than GAC trắng sứ (SX) ( KG100HK, KG10A4, KG100ES, KG100EO)",0.04,
622RO,SPH0397012300,"Lõi T33 to PP 1M trắng sứ (XB) ( KG100HK, KG10A4, KG100ES, KG100EO)",0.04,
622RO,SPH0397012500,"Lõi T33 to PP 1M trắng sứ (SX) ( KG100HK, KG10A4, KG100ES, KG100EO)",0.04,
622RO,SPH0397012700,"Lõi T33 to, Cation, 2 đầu, thân trắng trong, nắp trắng trong(XB) (KG100ES, KG100EO)",0.04,
